Dimensão;Documento/Sistema;Acronimo;Descrição;Responsável;Esfera;Link do Sistema;Entrada de Dados;Saída de Dados;Relação com Rede Nacional de Dados de Transporte;
4. Mobilidade Urbana;Carros Compartilhados;;Serviços de compartilhamento de veículos (Turbi, vec Itaú).;Empresas privadas;Privado;Varia por operador;RENAVAM,RENACH,CNH do Brasil,GPS dos veículos,dados de reserva/app;SP Pass,MaaS,Google Maps,Waze,sistemas de planejamento urbano,RENAEST;Modal emergente que reduz frota individual; dados de uso poderiam informar políticas de redução de congestionamento.
4. Mobilidade Urbana;Carona Solidária;;Plataformas de compartilhamento de viagens e custos.;Empresas privadas;Privado;https://www.blablacar.com.br;RENACH,CNH do Brasil,GPS,dados de rotas,Google Maps,Waze;Google Maps,Waze,sistemas de planejamento de corredores,MaaS,RENAEST;Redução de viagens individuais; dados de rotas poderiam ser usados para planejamento de corredores de transporte coletivo.
4. Mobilidade Urbana;MaaS;Mobility as a Service;Conceito de integração de múltiplos modais em uma única plataforma digital.;Iniciativas privadas e públicas;Privado + Público;https://maas-alliance.eu;Olho Vivo,Bilhete Único,Metrô/CPTM,Bike Itaú,SP Pass,aplicativos de TIA,Google Maps,Waze;Usuários finais,governos municipais/estaduais,sistemas de planejamento urbano,ANTP/SIMU;Visão de futuro para uma rede nacional de mobilidade integrada; depende de padronização de APIs e dados abertos.
4. Mobilidade Urbana;Aplicativos locais;;Plataformas regionais de transporte por aplicativo em cidades menores.;Empresas privadas regionais;Privado;Varia por operador;RENACH,RENAVAM,GPS,Google Maps,Waze,dados municipais de mobilidade;MaaS,SP Pass,sistemas municipais de mobilidade,RENAEST;Expansão da mobilidade por aplicativo para cidades médias.;
4. Mobilidade Urbana;Lei 13.640/2018;;Lei federal que regulamenta o transporte individual remunerado.;Congresso Nacional;Federal;http://www.planalto.gov.br;Congresso Nacional,dados de regulamentação municipal,ANTT,aplicativos de TIA;Prefeituras,ANTT,aplicativos de TIA,sistemas de fiscalização,RENAEST;Marco legal que poderia incluir obrigações de compartilhamento de dados para integração em rede nacional.;
4. Mobilidade Urbana;Decreto Municipal 56.981/2016 SP;;Regulamentação municipal de transporte por aplicativo em São Paulo.;Prefeitura de São Paulo;Municipal;https://www.prefeitura.sp.gov.br;Prefeitura de SP,dados de frota de TIA,CET-SP,SPTrans,RENAEST;Aplicativos de TIA,SPTrans,CET-SP,sistemas de planejamento urbano;Regulamentação local que impõe outorga de uso do viário; modelo que poderia ser padronizado nacionalmente.
4. Mobilidade Urbana;Infraestrutura Cicloviária;;Infraestrutura cicloviária urbana.;Prefeituras municipais;Municipal;Varia por cidade;Sensores de contagem,GPS de bicicletas (Bike Itaú),apps de mobilidade,Google Maps;Prefeituras,sistemas de planejamento urbano,MaaS,SP Pass,RENAEST;Infraestrutura que gera dados de uso quando monitorada.;
4. Mobilidade Urbana;Estacionamento Rotativo Pago;;Sistemas de estacionamento rotativo pago em áreas urbanas centrais.;Prefeituras municipais (operação: CETs e concessionárias);Municipal;Varia por cidade;CETs municipais,apps de pagamento (Zul+),sensores de ocupação,Google Maps,Waze;Prefeituras,Google Maps,Waze,sistemas de planejamento urbano,MaaS,RENAEST;Dados de ocupação de vagas que indicam demanda por transporte em áreas centrais.;
5. Frete e Logística;CT-e;Conhecimento de Transporte Eletrônico;Conhecimento de Transporte Eletrônico. O SPED possui APIs com diferentes níveis de maturidade (0 a 3) e a instabilidade em picos de processamento gera custos estimados em R$ 6 bi/ano para o setor.;RFB e ENCAT (Encontro Nacional de Coordenadores e Administradores Tributários Estaduais);Federal;https://www.nfe.fazenda.gov.br/portal/principal.aspx;NF-e,RNTRC,CIOT,RENAVAM,RENACH,dados do embarcador/contratante;MDF-e,SPED/RFB,Vale-Pedágio Obrigatório,RNTRC,TMS,ERP,ANTT,seguradoras;"Pilar central da rede nacional de dados de cargas; integração com RNTRC, CIOT, RENAVAM e MDF-e é pré-requisito para rastreabilidade total.";
5. Frete e Logística;MDF-e;Manifesto Eletrônico de Documentos Fiscais;Manifesto Eletrônico de Documentos Fiscais.;RFB e ENCAT (Encontro Nacional de Coordenadores e Administradores Tributários Estaduais);Federal;https://www.nfe.fazenda.gov.br/portal/principal.aspx;CT-e,NF-e,RNTRC,RENAVAM,CIOT,dados do embarcador/transportador;SPED/RFB,Alerta Brasil,TMS,WMS,ERP,ANTT (fiscalização),sistemas de rastreamento;"Documento de consolidação que permite rastreamento da carga em trânsito; integração com geofencing permitiria encerramento automático.";
5. Frete e Logística;NF-e;Nota Fiscal Eletrônica;Nota Fiscal Eletrônica.;RFB e SEFAZ estaduais (coordenação: ENCAT);Federal + Estadual;https://www.nfe.fazenda.gov.br/portal/principal.aspx;ERP,WMS,dados do embarcador (peso,valor,produto),Siscomex (exportação);CT-e,CT-e OS,MDF-e,SPED,TMS,ERP,CT-e Aquaviário;Origem dos dados da carga (peso, valor, destino); reconciliação automática com CT-e eliminaria retenções fiscais por divergência.
5. Frete e Logística;CT-e OS;Conhecimento de Transporte Eletrônico para Outros Serviços;Variação do CT-e para serviços não-remunerados.;RFB e ENCAT (Encontro Nacional de Coordenadores e Administradores Tributários Estaduais);Federal;https://www.nfe.fazenda.gov.br/portal/principal.aspx;NF-e,ERP,TMS,dados do contratante,CT-e;SPED,TMS,ERP,RFB,CT-e;Schema que precisa de revisão para incluir realidade do last-mile digital; ausência de adaptação gera insegurança jurídica.
5. Frete e Logística;CT-e Aquaviário;Conhecimento de Transporte Eletrônico Aquaviário;Conhecimento eletrônico para cabotagem.;RFB e ENCAT (normatização) e ANTAQ (regulação do modal aquaviário);Federal;https://www.nfe.fazenda.gov.br/portal/principal.aspx;NF-e,BL,CE,Sistema Mercante,AFRMM,RNTRC,RENAVAM;MDF-e,SPED,Sistema Mercante,AFRMM,Portolog,PORT.NET,VTS/VTMIS,TMS,WMS,ERP;Documento fiscal que deveria estar integrado ao Sistema Mercante para cálculo automático do AFRMM.;
5. Frete e Logística;CTMC;Conhecimento de Transporte Multimodal de Cargas;Conhecimento de Transporte Multimodal de Cargas.;ANTT (regulação) e  OTM (Operadores de Transporte Multimodal, emissores);Federal;https://www.antt.gov.br;CT-e,MDF-e,NF-e,RNTRC,RENAVAM;CT-e,MDF-e,TMS,WMS,ERP,ANTT (fiscalização);"Documento que deveria substituir CT-es modais mas coexiste com eles; revisão da Lei 9.611/1998 é necessária.";
5. Frete e Logística;RNTRC;Registro Nacional de Transportadores Rodoviários de Cargas;Registro Nacional de Transportadores Rodoviários de Cargas. A partir de 01/07/2026, a ANTT iniciará validação automática dos seguros obrigatórios (RCTR-C, RC-DC) via integração com seguradoras, com impacto direto na manutenção do registro.;ANTT;Federal;https://www.antt.gov.br;RENAVAM,RENACH,dados da empresa (CNPJ),seguros (RCTR-C,RC-DC),ANTT,CT-e;CT-e,MDF-e,CIOT,TMS,ERP,Alerta Brasil,InfraBR,SINESP;"Base cadastral central que deveria ser consultada em tempo real no CT-e; API existe (maturidade 2) mas sem integração com validador SPED.";
5. Frete e Logística;CIOT;Código Identificador da Operação de Transporte;Código Identificador da Operação de Transporte. Conforme Resolução ANTT nº 6.078/2026, a obrigatoriedade do CIOT foi ampliada para cargas fracionadas, estabelecendo novas classificações (lotação, fracionada, contratada).;ANTT;Federal;https://www.antt.gov.br;CT-e,RNTRC,RENAVAM,dados da operação de transporte,TAC-VALEC;ANTT,TAC-VALEC,TMS,ERP,SPED,Alerta Brasil;Sistema separado do SPED que deveria estar integrado ao CT-e como pré-condição de transmissão.;
5. Frete e Logística;TAC-VALEC;;Plataforma oficial da ANTT para emissão de CIOTs.;ANTT;Federal;https://www.antt.gov.br;RNTRC,RENAVAM,CT-e;CIOT,ANTT (fiscalização),TMS,WMS,ERP;"Sistema operacional do CIOT; deveria ter API de maturidade 3+ para integração com TMS e SPED.";
5. Frete e Logística;RENAVAM;Registro Nacional de Veículos Automotores;Registro Nacional de Veículos Automotores.;SENATRAN (Secretaria Nacional de Trânsito, MT);Federal;https://portalservicos.senatran.serpro.gov.br;DETRANs estaduais,fabricantes de veículos,SENATRAN,CRLV-e;CT-e,MDF-e,Alerta Brasil,SINESP,RENAEST,RNTRC,InfraBR,CRLV-e;"Base fundamental para validação de dados do veículo no CT-e; API inexistente (maturidade 0) impede verificação em tempo real.";
5. Frete e Logística;CTF;Cadastro Técnico Federal;Cadastro Técnico Federal (CTF/APP e CTF/AIDA) — registro obrigatório junto ao IBAMA para pessoas físicas e jurídicas que exercem atividades potencialmente poluidoras ou utilizadoras de recursos ambientais (Lei 6.938/1981). Gera o Certificado de Regularidade (CR) com validade de 3 meses, exigido em licitações públicas, licenciamentos estaduais e financiamentos de bancos públicos. Integrado ao SINIMA, DOF, CTNBio e sistemas de licenciamento ambiental.;IBAMA;Federal;https://www.gov.br/ibama/pt-br;Declaração das empresas (CNPJ, atividades, porte econômico),RAPP (Relatório Anual de Atividades Potencialmente Poluidoras),Relatório de Agrotóxicos,DOF,CTNBio,dados de auditagem fiscal (IBAMA);Certificado de Regularidade (CR),CNORP,MTR/SINIR,ATTIPP (condição para emissão),SINIMA,órgãos de licenciamento estadual,bancos públicos,licitações federais,TMS,WMS,ERP;"Base de dados ambiental sem API pública; verificação manual impede automação e gera risco de destinação irregular.";
5. Frete e Logística;MTR;Manifesto de Transporte de Resíduos;Manifesto de Transporte de Resíduos (MTR) – documento autodeclaratório emitido pelo SINIR (Sistema Nacional de Informações sobre Gestão de Resíduos Sólidos), obrigatório para todos os geradores sujeitos a Plano de Gerenciamento de Resíduos Sólidos (PGRS). Registra toda a cadeia: geração, coleta, transporte, armazenamento temporário e destinação final. Alguns estados (SP, RJ, SC, MG, RS, GO, ES) possuem sistemas próprios integrados ao SINIR nacional.;MMA (Ministério do Meio Ambiente e Mudança do Clima);Federal;https://sinir.gov.br / https://mtr.sinir.gov.br;CTF/IBAMA (cadastro do transportador),CNORP (operadores de resíduos perigosos),dados declaratórios do gerador, transportador e destinador;sistemas estaduais de MTR (SIGOR-SP, MTR-MG, MTR-RJ, MTR-RS, etc.);SINIR (inventário nacional de resíduos),CTF/IBAMA (atualização RAPP),órgãos ambientais estaduais,CNORP,TMS,WMS,ERP das transportadoras;"Sistema federal com adoção parcial estadual; sem integração com SPED/RFB, impossibilitando rastreabilidade fiscal de resíduos."
5. Frete e Logística;MOPP;Movimentação e Operação de Produtos Perigosos;Certificado para motoristas de produtos perigosos.;SENAT e ANTT (SENAT: formação,  ANTT: regulação e validação);Federal;https://digital.sestsenat.org.br;SEST/SENAT,RENACH,dados do motorista,ANTT,certificações de produtos perigosos;RENACH,CT-e,ANTT,TMS,ERP,Alerta Brasil,InfraBR;Certificação profissional que deveria estar vinculada ao RENACH para validação automática de habilitação.;
5. Frete e Logística;CIPP e CIV;Certificado de Inspeção para Produtos Perigosos / Certificado de Inspeção Veicular;Certificados de inspeção para produtos perigosos a granel.;Órgãos de inspeção;Privado;https://www.gov.br/inmetro/pt-br;INMETRO,organismos credenciados,dados técnicos do equipamento/veículo,RENAVAM;RENAVAM,CT-e,MDF-e,SPED,ANTT,Alerta Brasil;Laudos técnicos que deveriam ser digitalizados e integrados ao RENAVAM para validação automática de condições do veículo.;
5. Frete e Logística;AATIPP;Autorização Ambiental para Transporte Interestadual de Produtos Perigosos;"Autorização emitida pelo IBAMA, obrigatória desde 2012 (IN IBAMA nº 05/2012), para empresas que realizam transporte interestadual ou marítimo de produtos perigosos (rodoviário, ferroviário, fluvial e marítimo). Vinculada ao CTF/APP e ao CR. Validade de 3 meses; contém modal, frota, classes de risco ANTT, estados de atuação e empresa de atendimento a emergências. Disponível em formato digital desde 2018.";IBAMA;Federal;https://www.gov.br/ibama/pt-br;CTF/APP (inscrição e regularidade do transportador),CRA/CR (Certificado de Regularidade),CNORP (se transportador de resíduos perigosos),dados da frota (RENAVAM),dados da empresa de atendimento a emergências (PAE);CT-e (documento deve acompanhar operação),ANTT (fiscalização de produtos perigosos),PRF (fiscalização em rodovias),órgãos ambientais estaduais,TMS,ERP das transportadoras; dados abertos publicados pelo IBAMA (HTML, CSV, XML, JSON) desde 2012;Autorização federal que deveria estar integrada ao CT-e para bloqueio automático de operações não autorizadas.
5. Frete e Logística;DUE;Declaração Única de Exportação;Declaração Única de Exportação.;RFB;Federal;https://www.gov.br/receitafederal/pt-br;Siscomex,NF-e,dados do exportador,RFB;Portolog,PORT.NET,SAV,SGAD,CT-e Aquaviário,TMS,ERP;Documento de exportação que deveria ser lido automaticamente nos sistemas portuários no Gate-In.;
5. Frete e Logística;BL;Bill of Lading;Conhecimento de embarque marítimo internacional.;Armadores;Privado;Não aplicável;DUE,CE,CT-e Aquaviário,AFRMM,Sistema Mercante;CT-e Aquaviário,CE,AFRMM,Sistema Mercante,Portolog,PORT.NET,TMS,WMS,ERP;Documento de direito privado internacional com definições incompatíveis com CE e CT-e aquaviário.;
5. Frete e Logística;CE;Conhecimento de Embarque;Conhecimento de Embarque ANTAQ/SPED.;ANTAQ (emissão) e  RFB (validação fiscal);Federal;https://www.antt.gov.br;BL,CT-e Aquaviário,NF-e,dados da carga,ANTAQ;Sistema Mercante,AFRMM,Portolog,PORT.NET,SPED,TMS,ERP;Documento fiscal que deveria ter campo de vinculação obrigatória com BL e CT-e aquaviário.;
5. Frete e Logística;AFRMM;Adicional ao Frete para Renovação da Marinha Mercante;Adicional ao Frete para Renovação da Marinha Mercante.;ANTAQ;Federal;https://www.antt.gov.br;BL,CE,CT-e Aquaviário,dados de frete da armadora,ANTAQ;ANTAQ,SPED,Sistema Mercante,CT-e Aquaviário,TMS,ERP;Taxa calculada com base em frete declarado pela armadora; integração com CT-e aquaviário eliminaria divergências retroativas.
5. Frete e Logística;Portolog;;Sistema de agendamento de caminhões nos portos.;MPor (Ministério de Portos e Aeroportos) e  operação técnica: Serpro;Federal;https://www.portodesantos.com.br;DUE,Siscomex,CT-e,MDF-e,NF-e,VTS/VTMIS,Sealog,SAV,SGAD;PORT.NET,SAV,SGAD,VTS/VTMIS,Alerta Brasil,TMS,WMS,ERP;Sistema federal portuário que deveria consumir API Siscomex de DUE automaticamente.;
5. Frete e Logística;PORT.NET;;Sistema portuário privado para gestão de operações.;Operadores portuários;Privado;Não aplicável;Portolog,DUE,CT-e,MDF-e,NF-e,VTS/VTMIS;Portolog,SAV,SGAD,VTS/VTMIS,TMS,WMS,ERP;"Sistema privado que opera em paralelo ao Portolog; interoperabilidade entre sistemas é necessária.";
5. Frete e Logística;SAV;Sistema de Agendamento de Veículos;Sistema de Agendamento de Veículos de terminais privados.;Terminais privados;Privado;Não aplicável;Portolog,PORT.NET,CT-e,MDF-e,NF-e,dados do terminal privado;Portolog,SGAD,TMS,ERP,administração portuária;Sistemas proprietários de terminais que deveriam integrar dados de agendamento ao Portolog.;
5. Frete e Logística;SGAD;Sistema de Gerenciamento de Acesso às Docas;Sistema de Gerenciamento de Acesso às Docas.;Administrações portuárias;Federal + Privado;Não aplicável;SAV,Portolog,CT-e,MDF-e,dados de agendamento,RFB (aduaneiro);Portolog,TMS,ERP,administração portuária,SARA;Controle de acesso físico que deveria estar integrado ao agendamento digital e ao CT-e.;
5. Frete e Logística;VTS e VTMIS;Vessel Traffic Service / Vessel Traffic Management Information System;Sistema de Tráfego de Embarcações nos portos.;Marinha do Brasil – DHN (VTS: regulação e autorização) e  MT e administrações portuárias (VTMIS: implantação);Federal;https://www.marinha.mil.br;Sealog,dados de navios,radares portuários,Marinha do Brasil/DHN;Portolog,PORT.NET,Sealog,exportadores,TMS,VTMIS;Dados de movimentação de navios que deveriam ser compartilhados com exportadores para evitar demurrage.;
5. Frete e Logística;Porto sem Papel;;Iniciativa de digitalização da documentação portuária.;MPor (Ministério de Portos e Aeroportos) e  execução técnica: Serpro;Federal;https://www.gov.br/mportos/pt-br;Portolog,PORT.NET,Siscomex,SPED,DUE,CT-e,MDF-e,NF-e;Portolog,PORT.NET,Siscomex,SPED,TMS,WMS,ERP;Iniciativa de integração de documentos portuários que deveria ser expandida para toda a cadeia logística.;
5. Frete e Logística;GT;Guia de Tráfego;Documento para produtos controlados (SIGMA/Exército).;Exército Brasileiro;Federal;https://www.gov.br/defesa/pt-br;SIGMA/Exército,Polícia Federal (licença),CT-e,MDF-e;CT-e,MDF-e,SPED,Alerta Brasil,InfraBR,TMS,WMS,ERP;"Sistema do Exército sem API pública (maturidade 0); emissão restrita a dias úteis 8h-17h é incompatível com logística moderna.";
5. Frete e Logística;e-GTA;Guia de Trânsito Animal Eletrônica;Guia de Trânsito Animal Eletrônico (SIGEN/MAPA).;MAPA;Federal;https://www.gov.br/agricultura/pt-br;SIGEN/MAPA,dados do produtor,CT-e,MDF-e,dados de origem/destino;CT-e,MDF-e,SPED,InfraBR,fiscalização estadual,e-CAC;"Sistema SIGEN/MAPA com API interna (maturidade 1); adoção estadual parcial impede rastreabilidade nacional de carga viva.";
5. Frete e Logística;DGD;Declaração de Carga Perigosa;Declaração de Carga Perigosa rodoviária.;ANTT;Federal;https://www.antt.gov.br;ANTT,FISPQ,dados da carga perigosa,CT-e,MDF-e,PAE;Bombeiros,PRF,CT-e,MDF-e,PAE,Alerta Brasil,InfraBR;Documento sem registro central digital; criação de sistema integrado ao SPED permitiria prevenção de acidentes.
5. Frete e Logística;Ficha ABNT NBR 7.503;;Ficha de Emergência em papel (OBRIGATORIEDADE ELIMINADA).;ABNT (norma revogada em 2022) e  anteriormente fiscalizada pela ANTT;Federal;Não aplicável;ANTT (norma revogada);Não aplicável (obrigatoriedade eliminada);"Problema resolvido pela norma; exemplo de como atualização normativa pode eliminar gargalo.";
5. Frete e Logística;AET;Autorização Especial de Trânsito;Autorização Especial de Trânsito para carga indivisível.;ANTT + DERs;Federal + Estadual;https://www.antt.gov.br;RENAVAM,RNTRC,RENACH,dados do veículo/carga,SNV (rotas);ANTT,DERs estaduais,PRF,SINFRA estaduais,TMS,ERP;"Processo fragmentado entre esferas com prazos de 3 a 30 dias; padronização federal reduziria custo de atraso.";
5. Frete e Logística;SPED;Sistema Público de Escrituração Digital;Sistema Público de Escrituração Digital.;RFB e ENCAT (Encontro Nacional de Coordenadores e Administradores Tributários Estaduais);Federal;https://www.nfe.fazenda.gov.br;CT-e,MDF-e,NF-e,CT-e OS,CT-e Aquaviário,NF-e,dados fiscais,RFB;RFB,ENCAT,TMS,ERP,Siscomex,CT-e,MDF-e;Eixo central da rede nacional de dados fiscais; instabilidade em picos previsíveis gera R$6bi/ano em custos.
5. Frete e Logística;Siscomex;Sistema Integrado de Comércio Exterior;Sistema Integrado de Comércio Exterior.;RFB e MDIC (gestão conjunta,  módulo comercial: Secex);Federal;https://www.gov.br/receitafederal/pt-br;DI,LI,DUE,DTA,RADAR,SISCOSERV,SISBACEN,NF-e;DI,LI,DUE,DTA,RADAR,SPED,RFB (fiscalização),Portolog,PORT.NET,TMS,WMS,ERP;"Sistema crítico para comércio exterior; instabilidade em picos e falta de SLA público geram custos estimados em R$6bi/ano.";
5. Frete e Logística;DT-e;Documento de Transporte Eletrônico;Documento de Transporte Eletrônico (MT).;MT (Ministério dos Transportes) – SNTT (Secretaria Nacional de Transporte Terrestre);Federal;https://www.gov.br/transportes/pt-br;CT-e,MDF-e,NF-e,dados do MT/SNTT,RFB,ANTT;SPED,RFB,TMS,ERP,ANTT,InfraBR;Sistema paralelo ao SPED/CT-e sem integração definida; quando implantado, duplicará registro se não houver arquitetura de integração.
5. Frete e Logística;RADAR;Registro e Rastreamento da Atuação dos Importadores;Registro de importadores no Siscomex.;RFB;Federal;https://www.gov.br/receitafederal/pt-br;Siscomex,DI,LI,RFB (dados da empresa);Siscomex,DI,LI,SPED,RFB (fiscalização),TMS,WMS,ERP;"Processo manual de reparametrização (5-15 dias) bloqueia importações; automação eliminaria gargalo de R$500M/ano.";
5. Frete e Logística;DI;Declaração de Importação;Declaração de Importação.;RFB;Federal;https://www.gov.br/receitafederal/pt-br;Siscomex,LI,dados do importador,RFB,Radar;DTA,SARA,SPED,RFB,TMS,ERP,Portolog;Documento de entrada da carga no país; integração com DTA e sistema portuário permitiria rastreamento desde o desembaraço.
5. Frete e Logística;LI;Licença de Importação;Licença de Importação.;MDIC – Secex (emissão) e  RFB (validação fiscal);Federal;https://www.gov.br/receitafederal/pt-br;MDIC-Secex,Siscomex,dados do importador,RFB;DI,Siscomex,SPED,RFB,TMS,ERP;Pré-requisito para importação; bloqueio automático pelo RADAR impede operação de empresas em crescimento.
5. Frete e Logística;DTA;Declaração de Trânsito Aduaneiro;Declaração de Trânsito Aduaneiro.;RFB;Federal;https://www.gov.br/receitafederal/pt-br;DI,SARA,dados do recinto alfandegado,RFB;Siscomex,SPED,RFB,TMS,ERP,Portolog,SAV;Averbação manual em recintos alfandegados gera filas de 6-24h; digitalização completa reduziria custo de R$200M/ano.
5. Frete e Logística;PIN-e;Passe Internamento Eletrônico;Emissão do PIN para saída da Zona Franca de Manaus.;Suframa;Federal;https://www.suframa.gov.br;NF-e,SPED,RFB,empresas da ZFM;NF-e,SPED,CT-e,MDF-e,TMS,WMS,ERP;"Sistema com API de maturidade 1 e sem SLA; instabilidade represa toda produção da ZFM, gerando R$500M/ano em custos.";
5. Frete e Logística;SIGMA;Sistema de Gerenciamento de Material;Sistema do Exército para emissão da GT.;Exército Brasileiro;Federal;https://www.gov.br/defesa/pt-br;Exército Brasileiro (dados internos),Polícia Federal (licença),CT-e;GT,CT-e,MDF-e,SPED,Alerta Brasil,InfraBR;"Sistema interno sem API pública; emissão restrita a dias úteis 8h-17h com prazo mínimo de 24h é incompatível com logística moderna.";
5. Frete e Logística;SIGEN;Sistema de Gestão Eletrônica de (MAPA);Sistema do MAPA para emissão da e-GTA.;MAPA;Federal;https://www.gov.br/agricultura/pt-br;MAPA (dados internos),CT-e,MDF-e;e-GTA,CT-e,MDF-e,SPED,InfraBR;"API interna sem documentação pública; sem integração com DT-e/InfraBR, fiscalização não consegue verificar autenticidade.";
5. Frete e Logística;Sistema Mercante;;Cálculo do AFRMM.;ANTAQ (Agência Nacional de Transportes Aquaviários);Federal;https://www.antaq.gov.br/portal/portalRelatorios.asp;BL,CE,CT-e Aquaviário,AFRMM,dados de frete da armadora;AFRMM,CT-e Aquaviário,BL,CE,ANTAQ (fiscalização),TMS,WMS,ERP;"API SPED para CT-e aquaviário existe (maturidade 3) mas Sistema Mercante não a consome; integração eliminaria divergências.";
5. Frete e Logística;SISCOSERV;Sistema de Informações sobre Operações com Serviços;Sistema de Informações sobre Operações com Serviços, Intangíveis e Outras Operações que Produzam Variações no Patrimônio. DESCONTINUADO em 2021 pelo Decreto 10.818/2021. Era utilizado para declarar operações de aquisição e venda de serviços no exterior, incluindo fretes e seguros internacionais.;RFB e MDIC (sistema descontinuado em 2021);Federal;https://www.gov.br/receitafederal/pt-br;Siscomex,NF-e,dados de serviços no comércio exterior;Siscomex,SPED,RFB,MDIC,TMS,WMS,ERP;"Sistema descontinuado desde 2021; mencionado apenas como referência histórica. Os dados de serviços internacionais de transporte passaram a ser declarados via outros mecanismos da RFB e do BACEN.";
5. Frete e Logística;SISBACEN;Sistema de Informações do Banco Central;Registro de operações de câmbio do Banco Central.;BACEN;Federal;https://www.bcb.gov.br;Banco Central,dados de câmbio,Siscomex,DI,LI;Siscomex,SPED,RFB,Banco Central,TMS,WMS,ERP;"Dados de operações de câmbio vinculadas à importação/exportação; cruzamento com Siscomex permitiria validação automática de valores.";
5. Frete e Logística;e-CAC;Centro Virtual de Atendimento ao Contribuinte;Centro Virtual de Atendimento ao Contribuinte (RFB).;RFB;Federal;https://www.gov.br/receitafederal/pt-br;RFB (dados fiscais),SPED,Siscomex;RFB (regularização),SPED,Siscomex,contribuintes;Canal de regularização fiscal que poderia ser integrado a sistemas de transporte para alertas automáticos de irregularidades.;
5. Frete e Logística;Certificado Fitossanitário;;Documento para exportação agropecuária.;MAPA (emissão via Vigiagro);Federal;https://www.gov.br/agricultura/pt-br;MAPA/Vigiagro,dados de inspeção fitossanitária;NF-e,SPED,Portolog,PORT.NET,DUE,TMS,WMS,ERP;"Documento com validade de 15-30 dias; sem API de status integrada ao Gate-In, certificados vencem durante filas na safra.";
5. Frete e Logística;TMS;Transportation Management System;Transportation Management System.;Empresas privadas;Privado;Varia por fornecedor;CT-e,MDF-e,NF-e,RNTRC,CIOT,RENAVAM,RENACH,GPS,WMS,ERP;CT-e,MDF-e,SPED,Alerta Brasil,InfraBR,SINESP,TMS,ERP;Sistemas que consomem APIs governamentais; padronização de APIs federais é pré-requisito para eficiência.
5. Frete e Logística;WMS;Warehouse Management System;Warehouse Management System.;Empresas privadas;Privado;Varia por fornecedor;NF-e,ERP,dados de expedição,TMS;CT-e,TMS,ERP,SPED,WMS;Sistema que gera dados de expedição que alimentam NF-e; integração com TMS e SPED cria rastreabilidade.
5. Frete e Logística;ERP;Enterprise Resource Planning;Enterprise Resource Planning.;Empresas privadas;Privado;Varia por fornecedor;WMS,TMS,NF-e,dados da empresa,Siscomex,SPED;CT-e,MDF-e,SPED,TMS,WMS,Siscomex;Sistema central das empresas que precisa de integração nativa com SPED, Siscomex e sistemas da ANTT.;
5. Frete e Logística;EDI 300;Electronic Data Interchange 300;Padrão de intercâmbio eletrônico para CT-e.;Setor privado;Privado;Não aplicável;ERP,WMS,NF-e,dados de expedição;CT-e,TMS,ERP,WMS;"Padrão de comunicação entre ERP e sistemas de transporte; padronização nacional reduziria custo de integração.";
5. Frete e Logística;Contrato de Frete Eletrônico;;Geração digital de contratos de frete.;Administradoras de pagamento;Privado;Varia por administradora;TMS,ERP,RNTRC,CIOT,RENAVAM,Tabela TACO;CT-e,CIOT,TMS,ERP,Vale-Pedágio Obrigatório;"Ferramenta que formaliza a relação contratual; integração com CIOT e CT-e criaria cadeia de validação.";
5. Frete e Logística;Sistema de Manifesto de Carga Ferroviária;;Sistemas proprietários das concessionárias (VLI, Rumo, etc.).;Concessionárias ferroviárias;Privado;Varia por concessionária;CT-e,MDF-e,NF-e,RNTRC,RENAVAM,BL,CE,DUE;CT-e,MDF-e,NF-e,SPED,ANTT (fiscalização),TMS,WMS,ERP;"Sistemas incompatíveis entre si e com SPED; novos contratos do Marco Ferroviário poderiam incluir cláusulas de interoperabilidade.";
5. Frete e Logística;MIC-DTA MERCOSUL;Manifesto Internacional de Carga - Documento de Trânsito Aduaneiro;Manifesto e Documento de Trânsito Aduaneiro do MERCOSUL.;RFB (operação nacional) e Itamaraty – MRE (coordenação diplomática do acordo MERCOSUL);Federal;https://www.gov.br/receitafederal/pt-br;Siscomex,CT-e,MDF-e,NF-e,RFB,Itamaraty;Siscomex,CT-e,MDF-e,NF-e,SPED,RFB,TMS,WMS,ERP;"Documentos ainda em papel nas fronteiras terrestres; digitalização exigiria Protocolo Adicional ao Acordo de Transporte.";
5. Frete e Logística;AWB e e-AWB;Air Waybill / electronic Air Waybill;Conhecimento de embarque aéreo (IATA).;Companhias aéreas (padrão IATA);Privado;https://www.iata.org;NF-e,DUE,dados da carga aérea,SPED,RFB;SPED,TMS,ERP,companhias aéreas,CT-e (multimodal);Padrão internacional de documentação aérea; integração com SPED para carga aérea permitiria rastreamento multimodal.
5. Frete e Logística;RCTR-C RC-DC e RC-V;Responsabilidade Civil do Transportador Rodoviário de Cargas / Responsabilidade Civil do Depositário de Cargas / Responsabilidade Civil do Transportador de Veículos;Seguros obrigatórios de responsabilidade civil.;SUSEP (regulação) e  seguradoras credenciadas (emissão);Federal + Privado;https://www.susep.gov.br;RNTRC,RENAVAM,RENACH,SINESP,RENAEST,dados de rastreamento;RNTRC,RENAVAM,seguradoras,TMS,WMS,ERP;"Seguros vinculados ao RNTRC; integração de dados de sinistros com sistema de rastreamento permitiria precificação baseada em risco.";
